# Dependent Metric, Dependent-Upon
tomcat.sessionCreateRate,mongo.globalLock.currentQueue.writers
tomcat.sessionCreateRate,loadbalancer.ifInErrors
tomcat.sessionCreateRate,loadbalancer.ifOutOctets
tomcat.sessionCreateRate,loadbalancer.ifInOctets
tomcat.sessionCreateRate,loadbalancer.ifOutErrors
tomcat.sessionCreateRate,loadbalancer.ifOutQLen
tomcat.sessionCreateRate,mysql.volume_reads
tomcat.sessionCreateRate,mysql.volume_writes
tomcat.sessionCreateRate,mysql.query_cache_misses
tomcat.activeSessions,tomcat.HeapMemoryUsage
tomcat.activeSessions,tomcat.currentThreadCount
tomcat.activeSessions,tomcat.requestCount
tomcat.activeSessions,tomcat.rejectedSessions
tomcat.activeSessions,Vsphere.CPU.Usage
tomcat.activeSessions,proc.net.bytes
tomcat.activeSessions,iostat.disk.read_requests
tomcat.activeSessions,iostat.disk.write_requests
tomcat.activeSessions,proc.meminfo.active
tomcat.activeSessions,proc.meminfo.memfree
tomcat.activeSessions,mongo.extra_info.heap_usage_bytes
tomcat.activeSessions,mongo.globalLock.currentQueue.readers
tomcat.activeSessions,mongo.globalLock.currentQueue.writers
tomcat.activeSessions,loadbalancer.ifInErrors
tomcat.activeSessions,loadbalancer.ifOutOctets
tomcat.activeSessions,loadbalancer.ifInOctets
tomcat.activeSessions,loadbalancer.ifOutErrors
tomcat.activeSessions,loadbalancer.ifOutQLen
tomcat.activeSessions,mysql.volume_reads
tomcat.activeSessions,mysql.volume_writes
tomcat.activeSessions,mysql.query_cache_misses
mongo.backgroundFlushing.average_ms,mongo.connections.current
mongo.backgroundFlushing.average_ms,mongo.dur.commitsInWriteLock
mongo.backgroundFlushing.average_ms,mongo.dur.writeToDataFilesMB
mongo.backgroundFlushing.average_ms,mongo.extra_info.heap_usage_bytes
mongo.backgroundFlushing.average_ms,mongo.mem.virtual
mongo.backgroundFlushing.average_ms,Vsphere.CPU.Usage
mongo.backgroundFlushing.average_ms,proc.net.bytes
mongo.backgroundFlushing.average_ms,iostat.disk.read_requests
mongo.backgroundFlushing.average_ms,iostat.disk.write_requests
mongo.backgroundFlushing.average_ms,proc.meminfo.active
mongo.backgroundFlushing.average_ms,proc.meminfo.memfree
mongo.backgroundFlushing.average_ms,tomcat.bytesSent
mongo.backgroundFlushing.average_ms,tomcat.maxThreads
mongo.backgroundFlushing.average_ms,tomcat.activeSessions
mongo.backgroundFlushing.average_ms,tomcat.requestCount
mongo.dur.commits,proc.stat.cpu
mongo.dur.commits,proc.stat.cpu
mongo.dur.commits,mongo.extra_info.page_faults
mongo.dur.commits,mongo.dur.journaledMB
mongo.dur.commits,mongo.extra_info.heap_usage_bytes
mongo.dur.commits,mongo.mem.virtual
mongo.dur.commits,tomcat.bytesSent
mongo.dur.commits,tomcat.maxThreads
mongo.dur.commits,tomcat.activeSessions
mongo.dur.commits,tomcat.requestCount
mongo.dur.commits,proc.net.bytes
mongo.dur.commits,iostat.disk.read_requests
mongo.dur.commits,iostat.disk.write_requests
mongo.dur.commits,proc.meminfo.active
mongo.dur.commits,proc.meminfo.memfree
mongo.globalLock.lockTime,mongo.globalLock.activeClients.readers
mongo.globalLock.lockTime,mongo.globalLock.activeClients.writers
mongo.globalLock.lockTime,mongo.globalLock.currentQueue.readers
mongo.globalLock.lockTime,mongo.globalLock.currentQueue.writers
mongo.globalLock.lockTime,mongo.dur.commitsInWriteLock
mongo.globalLock.lockTime,proc.net.bytes
mongo.globalLock.lockTime,iostat.disk.read_requests
mongo.globalLock.lockTime,iostat.disk.write_requests
mongo.globalLock.lockTime,proc.meminfo.active
mongo.globalLock.lockTime,proc.meminfo.memfree
mongo.globalLock.lockTime,tomcat.bytesSent
mongo.globalLock.lockTime,tomcat.maxThreads
mongo.globalLock.lockTime,tomcat.activeSessions
mongo.globalLock.lockTime,tomcat.requestCount
mongo.opcounters,mongo.globalLock.activeClients.writers
mongo.opcounters,mongo.globalLock.currentQueue.writers
mongo.opcounters,mongo.dur.commitsInWriteLock
mongo.opcounters,mongo.mem.virtual
mongo.opcounters,Vsphere.CPU.Usage
mongo.opcounters,proc.net.bytes
mongo.opcounters,iostat.disk.read_requests
mongo.opcounters,iostat.disk.write_requests
mongo.opcounters,proc.meminfo.active
mongo.opcounters,proc.meminfo.memfree
mongo.opcounters,tomcat.bytesSent
mongo.opcounters,tomcat.maxThreads
mongo.opcounters,tomcat.activeSessions
mongo.opcounters,tomcat.requestCount
mongo.opcounters,mongo.globalLock.activeClients.writers
mongo.opcounters,mongo.globalLock.currentQueue.writers
mongo.opcounters,mongo.dur.commitsInWriteLock
mongo.opcounters,mongo.mem.virtual
mongo.opcounters,mongo.globalLock.currentQueue.readers
mongo.opcounters,Vsphere.CPU.Usage
mongo.opcounters,proc.net.bytes
mongo.opcounters,iostat.disk.read_requests
mongo.opcounters,iostat.disk.write_requests
mongo.opcounters,proc.meminfo.active
mongo.opcounters,proc.meminfo.memfree
mongo.opcounters,tomcat.bytesSent
mongo.opcounters,tomcat.maxThreads
mongo.opcounters,tomcat.activeSessions
mongo.opcounters,tomcat.requestCount
mongo.opcounters,mongo.globalLock.activeClients.readers
mongo.opcounters,mongo.globalLock.currentQueue.readers
mongo.opcounters,mongo.dur.commitsInWriteLock
mongo.opcounters,mongo.mem.virtual
mongo.opcounters,Vsphere.CPU.Usage
mongo.opcounters,proc.net.bytes
mongo.opcounters,iostat.disk.read_requests
mongo.opcounters,iostat.disk.write_requests
mongo.opcounters,proc.meminfo.active
mongo.opcounters,proc.meminfo.memfree
mongo.opcounters,tomcat.bytesSent
mongo.opcounters,tomcat.maxThreads
mongo.opcounters,tomcat.activeSessions
mongo.opcounters,tomcat.requestCount
mysql.innodb_data_writes,mysql.innodb_page_size
mysql.innodb_data_writes,mysql.innodb_pages_created
mysql.innodb_data_writes,mysql.innodb_pages_read
mysql.innodb_data_writes,mysql.innodb_pages_written
mysql.innodb_data_writes,iostat.disk.read_requests
mysql.innodb_data_writes,iostat.disk.write_requests
mysql.innodb_data_writes,iostat.disk.msec_read
mysql.innodb_data_writes,iostat.disk.msec_write
mysql.innodb_data_writes,Vsphere.CPU.Usage
mysql.innodb_data_writes,proc.net.bytes
mysql.innodb_data_writes,proc.meminfo.active
mysql.innodb_data_writes,proc.meminfo.memfree
mysql.innodb_data_writes,tomcat.bytesSent
mysql.innodb_data_writes,tomcat.maxThreads
mysql.innodb_data_writes,tomcat.activeSessions
mysql.innodb_data_writes,tomcat.requestCount
mysql.innodb_buffer_pool_read_requests,mysql.innodb_page_size
mysql.innodb_buffer_pool_read_requests,mysql.innodb_pages_created
mysql.innodb_buffer_pool_read_requests,mysql.innodb_pages_read
mysql.innodb_buffer_pool_read_requests,mysql.innodb_pages_written
mysql.innodb_buffer_pool_read_requests,mysql.pct_innodb_buffer_pool_hit_ratio
mysql.innodb_buffer_pool_read_requests,iostat.disk.read_requests
mysql.innodb_buffer_pool_read_requests,iostat.disk.write_requests
mysql.innodb_buffer_pool_read_requests,iostat.disk.msec_read
mysql.innodb_buffer_pool_read_requests,iostat.disk.msec_write
mysql.innodb_buffer_pool_read_requests,Vsphere.CPU.Usage
mysql.innodb_buffer_pool_read_requests,proc.net.bytes
mysql.innodb_buffer_pool_read_requests,proc.meminfo.active
mysql.innodb_buffer_pool_read_requests,proc.meminfo.memfree
mysql.innodb_buffer_pool_read_requests,tomcat.bytesSent
mysql.innodb_buffer_pool_read_requests,tomcat.maxThreads
mysql.innodb_buffer_pool_read_requests,tomcat.activeSessions
mysql.innodb_buffer_pool_read_requests,tomcat.requestCount
mysql.innodb_data_reads,mysql.innodb_page_size
mysql.innodb_data_reads,mysql.innodb_pages_created
mysql.innodb_data_reads,mysql.innodb_pages_read
mysql.innodb_data_reads,mysql.innodb_pages_written
mysql.innodb_data_reads,iostat.disk.read_requests
mysql.innodb_data_reads,iostat.disk.write_requests
mysql.innodb_data_reads,iostat.disk.msec_read
mysql.innodb_data_reads,iostat.disk.msec_write
mysql.innodb_data_reads,Vsphere.CPU.Usage
mysql.innodb_data_reads,proc.net.bytes
mysql.innodb_data_reads,proc.meminfo.active
mysql.innodb_data_reads,proc.meminfo.memfree
mysql.innodb_data_reads,tomcat.bytesSent
mysql.innodb_data_reads,tomcat.maxThreads
mysql.innodb_data_reads,tomcat.activeSessions
mysql.innodb_data_reads,tomcat.requestCount
