id,metricDescription,yAxisFormatter,renderer,url,graph
iostat.disk.msec_weighted_total,iostat disk msec weighted total,byte,line,n42-services/resources/metrics/iostat.disk.msec_weighted_total,TRUE
iostat.disk.read_merged,iostat disk read merged,byte,line,n42-services/resources/metrics/iostat.disk.read_merged,FALSE
iostat.disk.read_sectors,iostat disk read sectors,byte,line,n42-services/resources/metrics/iostat.disk.read_sectors,TRUE
iostat.disk.svctm,iostat disk svctm,byte,line,n42-services/resources/metrics/iostat.disk.svctm,FALSE
iostat.disk.util,iostat disk util,byte,line,n42-services/resources/metrics/iostat.disk.util,TRUE
iostat.disk.write_merged,iostat disk write merged,byte,line,n42-services/resources/metrics/iostat.disk.write_merged,FALSE
iostat.disk.write_sectors,iostat disk write sectors,byte,line,n42-services/resources/metrics/iostat.disk.write_sectors,TRUE
iostat.part.await,iostat part await,byte,line,n42-services/resources/metrics/iostat.part.await,FALSE
iostat.part.ios_in_progress,iostat part ios in progress,byte,line,n42-services/resources/metrics/iostat.part.ios_in_progress,TRUE
iostat.part.msec_read,iostat part msec read,byte,line,n42-services/resources/metrics/iostat.part.msec_read,FALSE
iostat.part.msec_total,iostat part msec total,byte,line,n42-services/resources/metrics/iostat.part.msec_total,TRUE
iostat.part.msec_weighted_total,iostat part msec weighted total,byte,line,n42-services/resources/metrics/iostat.part.msec_weighted_total,FALSE
iostat.part.msec_write,iostat part msec write,byte,line,n42-services/resources/metrics/iostat.part.msec_write,TRUE
iostat.part.read_merged,iostat part read merged,byte,line,n42-services/resources/metrics/iostat.part.read_merged,FALSE
iostat.part.read_requests,iostat part read requests,byte,line,n42-services/resources/metrics/iostat.part.read_requests,TRUE
iostat.part.read_sectors,iostat part read sectors,byte,line,n42-services/resources/metrics/iostat.part.read_sectors,FALSE
iostat.part.svctm,iostat part svctm,byte,line,n42-services/resources/metrics/iostat.part.svctm,TRUE
iostat.part.util,iostat part util,byte,line,n42-services/resources/metrics/iostat.part.util,FALSE
iostat.part.write_merged,iostat part write merged,byte,line,n42-services/resources/metrics/iostat.part.write_merged,TRUE
iostat.part.write_requests,iostat part write requests,byte,line,n42-services/resources/metrics/iostat.part.write_requests,FALSE
iostat.part.write_sectors,iostat part write sectors,byte,line,n42-services/resources/metrics/iostat.part.write_sectors,TRUE
mongo.asserts,mongo asserts,byte,line,n42-services/resources/metrics/mongo.asserts,FALSE
mongo.backgroundFlushing.flushes,mongo backgroundFlushing flushes,byte,line,n42-services/resources/metrics/mongo.backgroundFlushing.flushes,TRUE
mongo.backgroundFlushing.total_ms,mongo backgroundFlushing total ms,byte,line,n42-services/resources/metrics/mongo.backgroundFlushing.total_ms,FALSE
mongo.connections.available,mongo connections available,byte,line,n42-services/resources/metrics/mongo.connections.available,TRUE
mongo.cursors.timedOut,mongo cursors timedOut,byte,line,n42-services/resources/metrics/mongo.cursors.timedOut,FALSE
mongo.dur.earlyCommits,mongo dur earlyCommits,byte,line,n42-services/resources/metrics/mongo.dur.earlyCommits,TRUE
mongo.globalLock.totalTime,mongo globalLock totalTime,byte,line,n42-services/resources/metrics/mongo.globalLock.totalTime,FALSE
mongo.mem.mapped,mongo mem mapped,byte,line,n42-services/resources/metrics/mongo.mem.mapped,TRUE
mongo.mem.resident,mongo mem resident,byte,line,n42-services/resources/metrics/mongo.mem.resident,FALSE
mongo.network.numRequests,mongo network numRequests,byte,line,n42-services/resources/metrics/mongo.network.numRequests,TRUE
mysql.aborted_clients,mysql aborted clients,byte,line,n42-services/resources/metrics/mysql.aborted_clients,FALSE
mysql.aborted_connects,mysql aborted connects,byte,line,n42-services/resources/metrics/mysql.aborted_connects,TRUE
mysql.bytes_sent,mysql bytes sent,byte,line,n42-services/resources/metrics/mysql.bytes_sent,FALSE
mysql.com_admin_commands,mysql com admin commands,byte,line,n42-services/resources/metrics/mysql.com_admin_commands,TRUE
mysql.com_alter_db,mysql com alter db,byte,line,n42-services/resources/metrics/mysql.com_alter_db,FALSE
mysql.com_alter_table,mysql com alter table,byte,line,n42-services/resources/metrics/mysql.com_alter_table,TRUE
mysql.com_analyze,mysql com analyze,byte,line,n42-services/resources/metrics/mysql.com_analyze,FALSE
mysql.com_begin,mysql com begin,byte,line,n42-services/resources/metrics/mysql.com_begin,TRUE
mysql.com_call_procedure,mysql com call procedure,byte,line,n42-services/resources/metrics/mysql.com_call_procedure,FALSE
mysql.com_change_db,mysql com change db,byte,line,n42-services/resources/metrics/mysql.com_change_db,TRUE
mysql.com_change_master,mysql com change master,byte,line,n42-services/resources/metrics/mysql.com_change_master,FALSE
mysql.com_check,mysql com check,byte,line,n42-services/resources/metrics/mysql.com_check,TRUE
mysql.com_checksum,mysql com checksum,byte,line,n42-services/resources/metrics/mysql.com_checksum,FALSE
mysql.com_commit,mysql com commit,byte,line,n42-services/resources/metrics/mysql.com_commit,TRUE
mysql.com_create_db,mysql com create db,byte,line,n42-services/resources/metrics/mysql.com_create_db,FALSE
mysql.com_create_function,mysql com create function,byte,line,n42-services/resources/metrics/mysql.com_create_function,TRUE
mysql.com_create_index,mysql com create index,byte,line,n42-services/resources/metrics/mysql.com_create_index,FALSE
mysql.com_create_table,mysql com create table,byte,line,n42-services/resources/metrics/mysql.com_create_table,TRUE
mysql.com_create_user,mysql com create user,byte,line,n42-services/resources/metrics/mysql.com_create_user,FALSE
mysql.com_dealloc_sql,mysql com dealloc sql,byte,line,n42-services/resources/metrics/mysql.com_dealloc_sql,TRUE
mysql.com_delete,mysql com delete,byte,line,n42-services/resources/metrics/mysql.com_delete,FALSE
mysql.com_delete_multi,mysql com delete multi,byte,line,n42-services/resources/metrics/mysql.com_delete_multi,TRUE
mysql.com_do,mysql com do,byte,line,n42-services/resources/metrics/mysql.com_do,FALSE
